group,channel_id,channel_name,role,join_date,leave_date,source_url,founder,is_primary,channel_created,date_basis,date_precision,notes,treatment_date,eligible_q4q5,censor_date
2HYPE,UCY4AlDv6wL2qhrX29iwdqAg,2HYPE,group,2019-05-12,,https://youtube.fandom.com/wiki/2HYPE,,True,2019-05-12,channel_creation,approximate,formed May 2019; source user-edited,2019-05-12,FALSE,
2HYPE,UCQIUhhcmXsu6cN6n3y9-Pww,Jesser,member,2019-05-12,,https://youtube.fandom.com/wiki/2HYPE,True,True,2012-07-09,formation,approximate,founder,2019-05-12,TRUE,
2HYPE,UCUJ0Qif41Vfwds2Q_k6HO2g,Kristopher London,member,2019-05-12,,https://youtube.fandom.com/wiki/2HYPE,True,True,2012-08-10,formation,approximate,founder,2019-05-12,TRUE,
2HYPE,UCvyTdLw8SkVmUcHYXSDEGwA,CashNasty,member,2019-05-12,,https://youtube.fandom.com/wiki/2HYPE,True,True,2013-06-22,formation,approximate,founder,2019-05-12,TRUE,
2HYPE,UCTs5PJGf9AwnA7mNV3ejNTQ,ZackTTG,member,2019-05-12,,https://youtube.fandom.com/wiki/2HYPE,True,True,2015-07-11,formation,approximate,founder,2019-05-12,TRUE,
2HYPE,UCaUwlJEE3Vxsw0eIG15xBiw,Jiedel,member,2019-05-12,,https://youtube.fandom.com/wiki/2HYPE,True,True,2014-06-19,formation,approximate,founder,2019-05-12,TRUE,
2HYPE,UCOYSYNsxTfGTGbMu2c-kpfg,Mopi,member,2019-05-12,2020-12-13,https://www.distractify.com/p/why-did-mopi-leave-2hype,True,True,2016-04-09,formation,approximate,"former member, left 2020-12-13 (leave exact)",2019-05-12,TRUE,2020-12-13
Team 10,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,member,2016-08-05,2019-09-01,https://www.newsweek.com/jake-pauls-raided-team-10-house-has-been-losing-members-years-heres-why-1523327,True,True,2013-09-19,formation,exact,"case-study only (Q6), excluded from Q1-Q5; Team 10 founder",2016-08-05,FALSE,2019-09-01
Team 10,UCrCkLipGria4UloMpvNil5g,Erika Costell,member,2017-01-01,2018-01-01,https://www.newsweek.com/jake-pauls-raided-team-10-house-has-been-losing-members-years-heres-why-1523327,False,True,2014-03-06,approximate,approximate,"case-study only (Q6); join/leave approximate, not precisely sourced",2017-01-01,FALSE,2018-01-01
Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,group,2009-03-16,,https://en.wikipedia.org/wiki/Dude_Perfect,,True,2009-03-17,formation,exact,"contrast case only, excluded from all estimation Q1-Q6; 5 members have no significant solo channels",2009-03-16,FALSE,
OfflineTV,UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV,group,2017-07-03,,https://en.wikipedia.org/wiki/OfflineTV,,True,2017-07-03,channel_creation,approximate,operates a qualifying long-form group channel; formation 2017,2017-07-03,FALSE,
OfflineTV,UCan_L4XHfSbCKaTCcntyLTQ,Scarra,member,2017-07-03,,https://en.wikipedia.org/wiki/OfflineTV,True,True,2014-10-24,formation,month,co-founder,2017-07-03,TRUE,
OfflineTV,UChXKjLEzAB1K7EZQey7Fm1Q,Pokimane,member,2017-07-03,2023-01-01,https://en.wikipedia.org/wiki/OfflineTV,True,True,2014-03-23,formation,month,co-founder; left 2023 (approx),2017-07-03,TRUE,2023-01-01
OfflineTV,UCvWU1K29wCZ8j1NsXsRrKnA,LilyPichu,member,2017-07-03,,https://en.wikipedia.org/wiki/OfflineTV,True,True,2006-03-05,formation,month,co-founder,2017-07-03,TRUE,
OfflineTV,UCUT8RoNBTJvwW1iErP6-b-A,Disguised Toast,member,2017-10-01,,https://en.wikipedia.org/wiki/OfflineTV,True,True,2015-04-07,approximate,month,joined Oct 2017 (founding era),2017-10-01,TRUE,
OfflineTV,UCtHaxi4GTYDpJgMSGy7AeSw,Michael Reeves,member,2019-12-01,,https://en.wikipedia.org/wiki/OfflineTV,False,True,2016-04-15,approximate,month,late joiner Dec 2019,2019-12-01,TRUE,
OfflineTV,UCgDvko7FcHndaS-QoLJw_PA,Yvonnie,member,2018-09-19,,https://en.wikipedia.org/wiki/OfflineTV,False,True,2018-09-19,approximate,year,"joined 2018; date aligned to channel creation, verify",2018-09-19,FALSE,
OfflineTV,UC_wSuaxwUYsJOBZDWwHIQZg,QuarterJade,member,2021-11-01,,https://en.wikipedia.org/wiki/OfflineTV,False,True,2018-02-14,approximate,month,late joiner Nov 2021,2021-11-01,TRUE,
OfflineTV,UCOmXyEquWIIo1uAj_2LN4UA,Fedmyster,member,2017-07-03,2020-06-01,https://en.wikipedia.org/wiki/OfflineTV,True,True,2014-12-05,formation,month,co-founder; removed June 2020,2017-07-03,TRUE,2020-06-01
